title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
The Boss,Diana Ross,adult standards,1979,124,91,64,-4,21,83,241,24,5,57,False
Come and Get Your Love,Redbone,native american,2003,106,79,67,-6,8,85,300,13,5,56,False
Moviestar,Harpo,classic uk pop,1976,119,79,55,-8,33,71,202,29,3,56,False
Easy Livin',Uriah Heep,album rock,1972,161,84,26,-7,28,46,157,0,10,56,False
Three Times A Lady,Commodores,adult standards,2008,151,13,37,-17,14,20,215,94,3,56,False
Living Next Door to Alice,Smokie,classic uk pop,1975,126,40,59,-15,25,78,208,11,4,56,False
Dancing In The Moonlight,King Harvest,soft rock,1973,136,72,65,-5,41,68,178,68,4,56,False
You Are Everything,Diana Ross,adult standards,1973,150,53,52,-10,14,50,190,3,5,56,False
I Want You,Marvin Gaye,classic soul,1976,101,79,52,-10,24,74,274,85,3,56,False
Love Comes To Everyone - 2004 Mix,George Harrison,album rock,1979,107,68,72,-9,5,51,276,7,4,55,False
Rock Your Baby,George McCrae,disco,2001,104,77,59,-11,7,95,201,31,4,55,False
The Shape I'm In - Remastered 2000,The Band,album rock,1970,128,67,72,-8,30,96,241,24,4,54,False
Midnight Train to Georgia - Short Version,Gladys Knight & The Pips,adult standards,1973,177,42,44,-10,19,39,199,7,8,53,False
Daddy Cool,Boney M.,disco,1994,125,63,75,-12,23,96,206,25,4,53,False
Sad Eyes - Remastered,Robert John,soft rock,2002,107,46,43,-7,13,69,253,60,3,53,False
I Feel Love - Edit,Donna Summer,dance pop,2018,126,91,66,-9,8,94,227,3,4,52,False
Just Got Paid,ZZ Top,album rock,1972,100,69,57,-11,12,63,267,29,4,52,False
Killer Queen - 2011 Mix,Queen,glam rock,1974,117,65,54,-6,13,61,180,39,5,51,False
I'd Really Love to See You Tonight - 2012 Collection Remaster,England Dan,adult standards,2012,119,77,58,-5,17,67,158,20,3,50,False
I Got Lucky,Elvis Presley,adult standards,1971,93,39,73,-12,20,96,116,84,4,49,False
Baretta's Theme,Sammy Davis Jr.,adult standards,2002,105,91,64,-8,28,69,146,35,6,48,False
One of These Days,Emmylou Harris,country rock,1975,125,39,66,-9,12,68,184,45,3,46,False
